书名,作者,作者国别,出版时间,出版社,价格,评分,评价人数,封面URL,封面路径
真诚的骗子,托芙·扬松,芬,2025-4,北京联合出版公司,58元,8.3,49,https://img9.doubanio.com/view/subject/s/public/s35101296.jpg,covers/s35101296.jpg
想在天气好时去海边,拟泥nini,外国,2025-5-1,江苏凤凰文艺出版社,65.00元,8.0,679,https://img1.doubanio.com/view/subject/s/public/s35096619.jpg,covers/s35096619.jpg
性别：女：随机图书馆01,随机波动,中国,2025-4,新星出版社,69.00元,8.8,97,https://img2.doubanio.com/view/subject/s/public/s35100101.jpg,covers/s35100101.jpg
微渺人生,皮埃尔·米雄,法,2025-4-20,华东师范大学出版社,68.00,0.0,5,https://img1.doubanio.com/view/subject/s/public/s35091080.jpg,covers/s35091080.jpg
自身觉知与他异性：一项现象学的研究,丹·扎哈维,丹,2025,商务印书馆,75.00元,0.0,6,https://img1.doubanio.com/view/subject/s/public/s35112200.jpg,covers/s35112200.jpg
农民,符瓦迪斯拉夫·莱蒙特,波兰,2025-3,四川文艺出版社,238.00元,0.0,9,https://img1.doubanio.com/view/subject/s/public/s35024610.jpg,covers/s35024610.jpg
遣悲怀：“纪德人生三部曲” III,安德烈·纪德,法,2025-4,广西师范大学出版社,64.00元,8.6,16,https://img9.doubanio.com/view/subject/s/public/s35126416.jpg,covers/s35126416.jpg
我被行走治愈了,安娜贝尔·斯特里茨,英,2025-3,北京科学技术出版社,79.00元,7.2,130,https://img9.doubanio.com/view/subject/s/public/s35082155.jpg,covers/s35082155.jpg
小红帽捡到匹诺曹后，遇见了……,青柳碧人,日,2025-5,湖南文艺出版社,52.00元,0.0,18,https://img1.doubanio.com/view/subject/s/public/s35149638.jpg,covers/s35149638.jpg
音乐之错,马慧元,中国,2025-3,上海文艺出版社,59.00元,0.0,7,https://img1.doubanio.com/view/subject/s/public/s35103918.jpg,covers/s35103918.jpg
词语磁场：多多五十年诗歌自选集：1972-2022,多多,中国,2025-3,上海三联书店,82元,9.1,39,https://img9.doubanio.com/view/subject/s/public/s35125694.jpg,covers/s35125694.jpg
恶意的她,戈鞅,中国,2025-3,湖南文艺出版社,52元,7.8,62,https://img9.doubanio.com/view/subject/s/public/s35104056.jpg,covers/s35104056.jpg
轻尘暗生：身体史视角下的宋代妓女,柳雨春,中国,2025-3,社会科学文献出版社,79.80元,5.4,11,https://img3.doubanio.com/view/subject/s/public/s35101727.jpg,covers/s35101727.jpg
啊，你说得对：不否定沟通术,林健太郎,日,2025-3,湖南文艺出版社,48.00,7.2,89,https://img1.doubanio.com/view/subject/s/public/s35115359.jpg,covers/s35115359.jpg
虎溪山下,蔡寞琰,中国,2025-4,人民文学出版社,52.00,9.5,52,https://img1.doubanio.com/view/subject/s/public/s35099948.jpg,covers/s35099948.jpg
小狐狸化形记,扬纸,中国,2025-4,新星出版社,68.00元,9.7,350,https://img1.doubanio.com/view/subject/s/public/s35118670.jpg,covers/s35118670.jpg
我以为这辈子完蛋了,艾莉·布罗什,美,2025-3,花城出版社,78.00元,8.3,404,https://img9.doubanio.com/view/subject/s/public/s35133176.jpg,covers/s35133176.jpg
悬停日日,胡安·埃马尔,智利,2025-4,南海出版公司,49.00元,8.8,46,https://img1.doubanio.com/view/subject/s/public/s35134798.jpg,covers/s35134798.jpg
景观人类学：地方与空间的视角,埃里克·赫希（Eric Hirsch） / 迈克尔·奥汉隆（Michael O'Hanlon）,英 / 英,2025-3,清华大学出版社,精装,0.0,83,https://img2.doubanio.com/view/subject/s/public/s35109701.jpg,covers/s35109701.jpg
何以中国：葛剑雄文集第8卷,葛剑雄,中国,2025-3,广东人民出版社,118,8.6,30,https://img3.doubanio.com/view/subject/s/public/s35102032.jpg,covers/s35102032.jpg
莎士比亚时代的英格兰,杰里米·布莱克,英,2025-4,上海书店出版社,98,0.0,7,https://img9.doubanio.com/view/subject/s/public/s35119424.jpg,covers/s35119424.jpg
我脑袋里的小狐狸,露·吕碧,法,2025-4,四川美术出版社,68.00元,9.0,29,https://img2.doubanio.com/view/subject/s/public/s35100361.jpg,covers/s35100361.jpg
卡夫卡日记,卡夫卡,奥,2025-4-30,上海译文出版社,98,0.0,1,https://img9.doubanio.com/view/subject/s/public/s35133734.jpg,covers/s35133734.jpg
安徒生童话与故事全集,安徒生,丹,2025-4-2,上海译文出版社,598.00元,0.0,8,https://img1.doubanio.com/view/subject/s/public/s35120738.jpg,covers/s35120738.jpg
排爆组遭遇自旋,佐藤究,日,2025-4-30,上海文化出版社,69,0.0,69,https://img2.doubanio.com/view/subject/s/public/s35092841.jpg,covers/s35092841.jpg
在八岳南麓，直到最后,上野千鹤子,日,2025-3-14,中信出版社,59.80,8.1,51,https://img1.doubanio.com/view/subject/s/public/s35100889.jpg,covers/s35100889.jpg
赌注：海难、叛变和谋杀的故事,大卫·格雷恩,美,2025-3,人民文学出版社,69.00元,8.7,45,https://img3.doubanio.com/view/subject/s/public/s35115833.jpg,covers/s35115833.jpg
致命的策略,让·鲍德里亚,法,2025-4,南京大学出版社,68.00,0.0,8,https://img1.doubanio.com/view/subject/s/public/s35121149.jpg,covers/s35121149.jpg
日本的中世国家,佐藤进一,日,2025-3-31,崇文书局,精装,0.0,6,https://img1.doubanio.com/view/subject/s/public/s35062398.jpg,covers/s35062398.jpg
封疆之制：明代都司卫所管理体制研究,彭勇,中国,2025-4,生活·读书·新知三联书店,88.00元,8.2,14,https://img1.doubanio.com/view/subject/s/public/s35116468.jpg,covers/s35116468.jpg
努门诺尔的沦亡,J.R.R.托尔金 著 / 布莱恩·西布利 编 / 艾伦·李 图 / J.R.R.托尔金,英 / 英 / 英 / 英国,2025-3,上海人民出版社,108.00,9.5,28,https://img3.doubanio.com/view/subject/s/public/s35112312.jpg,covers/s35112312.jpg
